"product_code","product_name","accounting_code"
"01","Leased Line Internet","02.07.01.01;02.07.01.02"
"02","Kênh thuê riêng trong nước","02.08.01.01;02.08.01.02"
"03","SP Doanh thu dịch vụ giáo dục (Smas..)","04.03"
"04","GPDN - Giáo dục-Doanh thu dịch vụ sổ liên lạc điện tử - SMS edu","09.10.10"
"05","GPDN - Giáo dục- Hội nghị truyền hình giáo dục Edumeet","09.10.12"
"06","GPDN - Giáo dục- Doanh thu giáo án điện tử","09.10.13"
"07","GPDN - Giáo dục- Doanh thu kiểm định chất lượng giáo dục","09.10.05"
"08","GPDN - Giáo dục- Doanh thu mạng xã hội học tập","09.10.07"
"09","GPDN - Giáo dục-Doanh thu PM khảo thí","09.10.11"
"10","GPDN - Giáo dục- Doanh thu cổng thông tin điện tử (Portal)","09.10.01"
"11","GPDN - Giáo dục- Phần mềm quản lý học phí","09.10.08"
"12","GPDN - Giáo dục - Doanh thu thời khóa biểu","09.10.15"
"13","GPDN - Giáo dục- Doanh thu lớp học thông minh","09.10.06"
"14","GPDN - Giáo dục - Doanh thu quản lý học trực tuyến Elearning","09.10.17"
"15","GPDN - Giáo dục- Tuyển sinh đầu cấp","09.10.09"
"16","GPDN - Giáo dục- Doanh thu camera trường học","09.10.03"
"17","GPDN - Giáo dục- Doanh thu dịch vụ văn bằng chứng chỉ","09.10.14"
"18","GPDN - Giáo dục -Doanh thu PM quản lý đại học","09.10.18"
"19","GPDN - YTE- Doanh thu quản lý nhà thuốc","09.18.08"
"20","GPDN - YTE- Doanh thu tiêm chủng dịch vụ","09.18.07"
"21","GPDN - YTE- Doanh thu SMS (Tiêm chủng, ….)","09.18.06"
"22","GPDN - YTE- Doanh thu dịch vụ khám chữa bệnh tuyến bệnh viện (HIS)","09.18.04"
"23","GPDN - YTE - Doanh thu dịch vụ khám chữa bệnh tuyến xã phường (YTCS)","09.18.01"
"24","GPDN - YTE- Doanh thu dịch vụ hồ sơ sức khỏe cá nhân toàn quốc (HSSK)","09.18.03"
"25","GPDN - YTE- Doanh thu portal Y tế","09.18.09"
"26","GPDN - YTE- DT DV kiểm tra hồ sơ thanh quyết toán khám chữa bệnh BHXH","09.18.05"
"27","GPDN - YTE- Doanh thu các dịch vụ GPCNTT khác","09.18.02"
"28","KHDN Doanh thu dịch vụ Ami.one","02.10.1.6"
"29","KHDN Doanh thu dịch vụ cầu truyền hình","02.10.1.5"
"30","Dịch vụ SMS A2P (Dịch vụ quốc tế)","03.05.01"
"31","Dịch vụ SMS Welcome (Dịch vụ quốc tế)","03.05.03"
"31","Dịch vụ Topup quốc tế (Dịch vụ quốc tế)","09.06.01"
"33","Dịch vụ Recloser","09.13.11"
"34","Dịch vụ Manage Service","03.05.02"
"35","Dịch vụ Bãi đỗ xe thông minh (Car parking)","09.25.21"
"36","Dịch vụ AMT.One","09.03.01"
"37","Dịch vụ Safe One","09.14.01;09.14.02"
"38","KHDN Doanh thu DV quản lý bán hàng trực tuyến (DMS...)","02.10.6"
"39","GTGT Doanh thu dịch vụ BulkSMS","06.04"
"40","GPDN - Doanh thu dịch vụ tổng đài di động (MCC...)","09.25.15"
"41","GPDN Dịch vụ IDC_Đăng ký tên miền quốc gia/ Quốc tế","09.19.01"
"42","GPDN - Doanh thu dịch vụ cầu truyền hình Vmeet","09.25.22"
"43","GPDN - DT Dịch vụ Portal HCC","09.25.06"
"44","GPDN Doanh thu dịch vụ Voffice","09.20.01"
"45","GPDN - DT DV Reputar","09.25.02"
"46","GPDN - Doanh thu các dịch vụ giải pháp CNTT khác","09.11.01"
